Date,TemperatureMin,TemperatureMax,TemperatureMoyenne,Precipitations,HygrometrieMin,HygrometrieMax,HygrometrieMoyenne
2016-06-07,15.1000003814697,28.7999992370605,21.9500007629395,3.40000009536743,42,95,73
2016-06-08,15.1000003814697,26.2999992370605,20.7000007629395,5.19999980926514,46,96,81
2016-06-09,13.8000001907349,25.7000007629395,19.75,0,36,95,69
2016-06-10,11,26.6000003814697,18.7999992370605,0,38,94,63
2016-06-11,16.1000003814697,27.1000003814697,21.6000003814697,8.19999980926514,37,93,71
2016-06-12,15.1000003814697,23.1000003814697,19.1000003814697,0.600000023841858,45,92,68
2016-06-13,14.8999996185303,23.8999996185303,19.3999996185303,13.1999998092651,53,93,78
2016-06-14,14.6000003814697,19.6000003814697,17.1000003814697,4,59,94,79
2016-06-15,11.3000001907349,24.2000007629395,17.75,2,40,93,73
2016-06-16,13.3999996185303,18.1000003814697,15.75,49,72,94,88
2016-06-17,12.1000003814697,23.5,17.7999992370605,3.40000009536743,45,94,74
2016-06-18,11.6999998092651,20.2999992370605,16,13.1999998092651,57,93,76
2016-06-19,12.8999996185303,21.7000007629395,17.2999992370605,1.79999995231628,51,94,78
2016-06-20,9.30000019073486,25.2000007629395,17.25,0.200000002980232,43,96,70
2016-06-21,16.1000003814697,26.8999996185303,21.5,0.200000002980232,48,90,71
2016-06-22,15.5,32.2999992370605,23.8999996185303,0,43,95,70
2016-06-23,18.7000007629395,34.4000015258789,26.5499992370605,0,38,96,66
2016-06-24,17.3999996185303,33.4000015258789,25.3999996185303,0,35,93,63
2016-06-25,21.1000003814697,28.3999996185303,24.75,0.400000005960464,45,83,63
2016-06-26,17.3999996185303,26,21.7000007629395,0,36,75,51
2016-06-27,13,26.7999992370605,19.8999996185303,0,33,82,55
2016-06-28,12.6999998092651,29,20.8500003814697,0,40,90,63
2016-06-29,16.1000003814697,31.2999992370605,23.7000007629395,0,42,94,64
2016-06-30,17.5,28.1000003814697,22.7999992370605,0.600000023841858,51,92,71
2016-07-01,18.3999996185303,31.2000007629395,24.7999992370605,0,43,92,68
2016-07-02,18.6000003814697,27,22.7999992370605,1.20000004768372,59,94,73
2016-07-03,13.8999996185303,26.3999996185303,20.1499996185303,0,38,79,55
2016-07-04,12.3000001907349,29.2999992370605,20.7999992370605,0,41,90,63
2016-07-05,16.7000007629395,28.7999992370605,22.75,0,47,92,70
2016-07-06,14.6000003814697,28.7000007629395,21.6499996185303,0,39,92,64
2016-07-07,13.8000001907349,30.7999992370605,22.2999992370605,0,39,95,65
2016-07-08,17.7000007629395,33.9000015258789,25.7999992370605,0,30,91,63
2016-07-09,17.7000007629395,31.6000003814697,24.6499996185303,0,36,88,62
2016-07-10,18.2000007629395,34.2999992370605,26.25,0,40,91,66
2016-07-11,18.2999992370605,30.8999996185303,24.6000003814697,1.79999995231628,44,90,69
2016-07-12,19.7000007629395,23.8999996185303,21.7999992370605,15,69,94,87
2016-07-13,15.3000001907349,20.3999996185303,17.8500003814697,1.20000004768372,52,93,76
2016-07-14,11.5,18,14.75,1,51,93,75
2016-07-15,8.60000038146973,23.6000003814697,16.1000003814697,0,36,93,63
2016-07-16,9.39999961853027,25.2000007629395,17.2999992370605,0,37,92,62
2016-07-17,10.6000003814697,29.5,20.0499992370605,0,40,93,66
2016-07-18,14.1999998092651,32.2000007629395,23.2000007629395,0,38,93,67
2016-07-19,15.8000001907349,33.2000007629395,24.5,0,32,94,65
2016-07-20,15.6000003814697,33.2999992370605,24.4500007629395,0,32,92,63
2016-07-21,18.7999992370605,31.1000003814697,24.9500007629395,0.800000011920929,37,86,65
2016-07-22,20.2000007629395,27.6000003814697,23.8999996185303,1.20000004768372,51,90,73
2016-07-23,19.3999996185303,25.1000003814697,22.25,7,62,95,83
2016-07-24,17.2000007629395,27.7000007629395,22.4500007629395,0,51,95,77
2016-07-25,16.1000003814697,29.6000003814697,22.8500003814697,0.200000002980232,49,93,71
2016-07-26,16.7999992370605,30.7999992370605,23.7999992370605,0,43,95,69
2016-07-27,17.7000007629395,29,23.3500003814697,0,43,92,68
2016-07-28,13.6999998092651,29.8999996185303,21.7999992370605,0,41,91,64
2016-07-29,14.5,31.5,23,0,36,92,66
2016-07-30,16.3999996185303,29.7999992370605,23.1000003814697,0,46,92,72
2016-07-31,18.3999996185303,27.7000007629395,23.0499992370605,12.1999998092651,54,94,78
2016-08-01,17.6000003814697,27.2999992370605,22.4500007629395,0,38,93,68
2016-08-02,13.1999998092651,28.8999996185303,21.0499992370605,0.200000002980232,37,94,67
2016-08-03,14.8000001907349,30.8999996185303,22.8500003814697,0,36,93,67
2016-08-04,14.6000003814697,30,22.2999992370605,15.3999996185303,44,94,71
2016-08-05,16.7999992370605,21.3999996185303,19.1000003814697,12.3999996185303,60,95,81
2016-08-06,11.3000001907349,26,18.6499996185303,0.200000002980232,37,94,69
2016-08-07,12.1999998092651,27.8999996185303,20.0499992370605,0,45,94,71
2016-08-08,13.3000001907349,29.3999996185303,21.3500003814697,0.200000002980232,45,94,71
2016-08-09,16.2000007629395,24.2999992370605,20.25,0,52,92,72
2016-08-10,12.3999996185303,23.8999996185303,18.1499996185303,0,37,85,54
2016-08-11,9.5,23.6000003814697,16.5499992370605,0,37,87,61
2016-08-12,9.69999980926514,27.7000007629395,18.7000007629395,0.200000002980232,38,92,67
2016-08-13,12.6000003814697,31.2000007629395,21.8999996185303,0,32,95,68
2016-08-14,15.3000001907349,32.9000015258789,24.1000003814697,0,35,95,68
2016-08-15,14.8000001907349,32.7999992370605,23.7999992370605,0.200000002980232,33,94,67
2016-08-16,15,32.2999992370605,23.6499996185303,0,28,93,64
2016-08-17,15.3999996185303,30.3999996185303,22.8999996185303,0.800000011920929,30,91,67
2016-08-18,15,26.7000007629395,20.8500003814697,1.60000002384186,48,93,77
2016-08-19,18,31,24.5,0,42,93,70
2016-08-20,18.6000003814697,21.2999992370605,19.9500007629395,14.1999998092651,83,93,88
2016-08-21,13.8000001907349,24.1000003814697,18.9500007629395,0,41,96,69
2016-08-22,10.1999998092651,26,18.1000003814697,0,39,90,64
2016-08-23,11.3999996185303,29.8999996185303,20.6499996185303,0.200000002980232,40,94,70
2016-08-24,14.3000001907349,34,24.1499996185303,0,32,94,68
2016-08-25,15.3999996185303,34.5,24.9500007629395,0.200000002980232,29,95,68
2016-08-26,16.3999996185303,35.0999984741211,25.75,0,34,94,66
2016-08-27,17.3999996185303,34.5,25.9500007629395,0,34,94,67
2016-08-28,17.1000003814697,33.5,25.2999992370605,0,34,93,67
2016-08-29,16.7000007629395,29.1000003814697,22.8999996185303,0,46,91,67
2016-08-30,17.7999992370605,29,23.3999996185303,0,45,80,63
2016-08-31,16.8999996185303,31.2000007629395,24.0499992370605,0,41,92,69
2016-09-01,15,31,23,0.200000002980232,33,93,66
2016-09-02,13.8999996185303,31.7999992370605,22.8500003814697,0,32,94,68
2016-09-03,13.3999996185303,31.1000003814697,22.25,0.200000002980232,18,94,67
2016-09-04,13.1000003814697,29.7999992370605,21.4500007629395,0,32,94,65
2016-09-05,13.6000003814697,24.3999996185303,19,0,55,88,68
2016-09-06,16.2999992370605,27.7999992370605,22.0499992370605,0,37,85,61
2016-09-07,12,30.8999996185303,21.4500007629395,0,30,94,66
2016-09-08,13.1000003814697,31.2999992370605,22.2000007629395,0.200000002980232,27,95,63
2016-09-09,13.6999998092651,30.1000003814697,21.8999996185303,0,39,90,66
2016-09-10,15.1000003814697,31.3999996185303,23.25,0,35,93,65
2016-09-11,14.1999998092651,31.1000003814697,22.6499996185303,0.200000002980232,37,93,68
2016-09-12,15.8000001907349,32.5,24.1499996185303,2,31,93,65
2016-09-13,14.5,32.0999984741211,23.2999992370605,0.200000002980232,29,94,66
2016-09-14,13.6999998092651,27.8999996185303,20.7999992370605,0,38,91,69
2016-09-15,16.8999996185303,27,21.9500007629395,5.19999980926514,35,93,71
2016-09-16,15.1999998092651,21.2000007629395,18.2000007629395,0,54,84,73
2016-09-17,14.1999998092651,15.6000003814697,14.8999996185303,14.8000001907349,73,93,86
2016-09-18,12.1000003814697,15.5,13.8000001907349,9.19999980926514,82,93,89
2016-09-19,13.3999996185303,22.3999996185303,17.8999996185303,0.400000005960464,48,94,75
2016-09-20,12.3999996185303,21.1000003814697,16.75,0,51,92,75
2016-09-21,14,21.2999992370605,17.6499996185303,0,54,92,77
2016-09-22,10.8999996185303,24.8999996185303,17.8999996185303,0,46,95,75
2016-09-23,12,26.1000003814697,19.0499992370605,0,42,96,74
2016-09-24,9.19999980926514,23.7000007629395,16.4500007629395,0.200000002980232,46,96,76
2016-09-25,9.19999980926514,26.1000003814697,17.6499996185303,0.200000002980232,37,96,74
2016-09-26,12.5,24.3999996185303,18.4500007629395,0,47,91,73
2016-09-27,14.1000003814697,22.7999992370605,18.4500007629395,0,53,90,76
2016-09-28,10.5,26.7999992370605,18.6499996185303,0.200000002980232,39,96,73
2016-09-29,9.10000038146973,27.7999992370605,18.4500007629395,0.200000002980232,37,96,73
2016-09-30,7.90000009536743,26.7999992370605,17.3500003814697,0.200000002980232,31,96,67
2016-10-01,11.1000003814697,19.3999996185303,15.25,8,66,94,82
2016-10-02,12.8999996185303,18.7999992370605,15.8500003814697,0,67,96,85
2016-10-03,7.19999980926514,20.1000003814697,13.6499996185303,0.200000002980232,41,95,75
2016-10-04,3.79999995231628,19.6000003814697,11.6999998092651,0,46,95,77
2016-10-05,4.69999980926514,19.1000003814697,11.8999996185303,0,50,96,75
2016-10-06,8.69999980926514,15.5,12.1000003814697,0,51,86,65
2016-10-07,5,15.8000001907349,10.3999996185303,0,56,95,79
2016-10-08,4.5,17.7000007629395,11.1000003814697,0,47,95,74
2016-10-09,5.40000009536743,16.7000007629395,11.0500001907349,0,44,93,72
2016-10-10,4.09999990463257,13.8000001907349,8.94999980926514,0,49,92,74
2016-10-11,1.70000004768372,14.5,8.10000038146973,0,41,96,75
2016-10-12,-0.200000002980232,14.1999998092651,7,0,48,96,76
2016-10-13,7.80000019073486,10.6999998092651,9.25,6.40000009536743,74,93,87
2016-10-14,7.90000009536743,13.8000001907349,10.8500003814697,29.2000007629395,80,95,92
2016-10-15,7.40000009536743,21,14.1999998092651,0.400000005960464,49,96,81
2016-10-16,6.19999980926514,17.8999996185303,12.0500001907349,0.400000005960464,57,97,85
2016-10-17,9.10000038146973,15.8000001907349,12.4499998092651,8.60000038146973,74,95,92
2016-10-18,11.3999996185303,19.1000003814697,15.25,3,48,95,81
2016-10-19,4.5,15,9.75,0,56,97,80
2016-10-20,5.40000009536743,14.6999998092651,10.0500001907349,0,47,95,75
2016-10-21,1.5,16.2000007629395,8.85000038146973,0,46,96,78
2016-10-22,1.5,16.8999996185303,9.19999980926514,0,42,97,79
2016-10-23,5.59999990463257,14.3999996185303,10,1.20000004768372,66,91,79
2016-10-24,9,26.5,17.75,0,37,87,73
2016-10-25,14,16,15,37.7999992370605,89,95,93
2016-10-26,10.3000001907349,15.3999996185303,12.8500003814697,2,87,96,94
2016-10-27,9.60000038146973,16.6000003814697,13.1000003814697,0,66,96,84
2016-10-28,11,18.7999992370605,14.8999996185303,0,52,93,77
2016-10-29,5.19999980926514,14.1999998092651,9.69999980926514,0,60,96,86
2016-10-30,3.5,15.1000003814697,9.30000019073486,0,61,96,87
2016-10-31,1.89999997615814,16.1000003814697,9,0,57,97,86
2016-11-01,2,15.1000003814697,8.55000019073486,0,58,97,88
2016-11-02,3,16.5,9.75,0,53,97,86
2016-11-03,6.09999990463257,14.3999996185303,10.25,0,56,94,79
2016-11-04,0.699999988079071,15.8999996185303,8.30000019073486,0.200000002980232,56,96,84
2016-11-05,10,12.6000003814697,11.3000001907349,25.7999992370605,89,95,93
2016-11-06,7.40000009536743,10.6000003814697,9,14.1999998092651,64,95,87
2016-11-07,2.40000009536743,9,5.69999980926514,0,54,96,82
2016-11-08,-0.800000011920929,5.59999990463257,2.40000009536743,0,65,95,83
2016-11-09,-2.59999990463257,3,0.200000002980232,13.6000003814697,87,95,94
2016-11-10,2.79999995231628,7.90000009536743,5.34999990463257,11.1999998092651,82,96,93
