note,velocity,time_symb,pitch,hand,time_wav
66,0,49.666666666666664,F#4,R,24.833333333333332
57,0,49.83333333333333,A3,R,24.916666666666664
66,66,49.833333333333336,F#4,R,24.916666666666668
38,62,49.833333333333336,D2,L,24.916666666666668
66,0,50.0,F#4,R,25.0
38,0,50.0,D2,L,25.0
57,62,50.0,A3,R,25.0
38,65,50.25,D2,L,25.125
57,0,50.25,A3,R,25.125
66,66,50.291666666666664,F#4,R,25.145833333333332
66,0,50.33333333333333,F#4,R,25.166666666666664
57,52,50.416666666666664,A3,R,25.208333333333332
38,63,50.5,D2,L,25.25
38,0,50.5,D2,L,25.25
57,0,50.5,A3,R,25.25
66,63,50.5625,F#4,R,25.28125
57,55,50.75,A3,R,25.375
66,0,50.75,F#4,R,25.375
38,81,51.0,D2,L,25.5
57,0,51.0,A3,R,25.5
66,67,51.0,F#4,R,25.5
38,0,51.0,D2,L,25.5
66,0,51.083333333333336,F#4,R,25.541666666666668
57,58,51.166666666666664,A3,R,25.583333333333332
57,0,51.25,A3,R,25.625
66,70,51.375,F#4,R,25.6875
38,0,51.375,D2,L,25.6875
38,74,51.375,D2,L,25.6875
66,0,51.5,F#4,R,25.75
38,0,51.5,D2,L,25.75
57,60,51.5625,A3,R,25.78125
67,76,51.75,G4,R,25.875
40,72,51.75,E2,L,25.875
57,0,51.75,A3,R,25.875
57,58,51.9375,A3,R,25.96875
40,64,52.0,E2,L,26.0
40,0,52.0,E2,L,26.0
57,58,52.0,A3,R,26.0
67,79,52.0,G4,R,26.0
57,0,52.0,A3,R,26.0
67,0,52.0,G4,R,26.0
67,0,52.25,G4,R,26.125
57,55,52.3125,A3,R,26.15625
40,0,52.5,E2,L,26.25
42,76,52.5,F#2,L,26.25
57,0,52.5,A3,R,26.25
69,72,52.5,A4,R,26.25
42,0,52.6875,F#2,L,26.34375
57,54,52.6875,A3,L,26.34375
57,0,52.75,A3,L,26.375
42,67,52.75,F#2,L,26.375
69,73,52.875,A4,L,26.4375
42,0,52.875,F#2,L,26.4375
69,0,53.0,A4,R,26.5
57,67,53.0,A3,L,26.5
57,0,53.0,A3,R,26.5
69,0,53.0,A4,L,26.5
57,0,53.083333333333336,A3,L,26.541666666666668
31,83,53.208333333333336,G1,L,26.604166666666668
71,84,53.25,B4,R,26.625
31,83,53.25,G1,L,26.625
62,80,53.25,D4,R,26.625
31,0,53.25,G1,L,26.625
31,0,53.375,G1,L,26.6875
59,70,53.4375,B3,L,26.71875
71,0,53.5,B4,R,26.75
62,0,53.5,D4,R,26.75
59,70,53.5,B3,L,26.75
59,0,53.5,B3,L,26.75
62,70,53.5625,D4,R,26.78125
43,66,53.5625,G2,L,26.78125
59,0,53.625,B3,L,26.8125
71,58,53.625,B4,L,26.8125
43,0,53.75,G2,L,26.875
71,0,53.75,B4,L,26.875
62,0,53.75,D4,R,26.875
59,50,53.8125,B3,L,26.90625
62,53,54.0,D4,R,27.0
71,62,54.0,B4,R,27.0
59,0,54.0,B3,L,27.0
43,63,54.0,G2,L,27.0
43,0,54.166666666666664,G2,L,27.083333333333332
59,64,54.166666666666664,B3,L,27.083333333333332
62,0,54.166666666666664,D4,R,27.083333333333332
71,0,54.166666666666664,B4,R,27.083333333333332
59,0,54.33333333333333,B3,L,27.166666666666664
71,67,54.333333333333336,B4,R,27.166666666666668
43,61,54.333333333333336,G2,L,27.166666666666668
62,51,54.333333333333336,D4,R,27.166666666666668
71,0,54.5,B4,R,27.25
62,0,54.5,D4,R,27.25
59,61,54.5,B3,L,27.25
43,0,54.5,G2,L,27.25
59,0,54.625,B3,L,27.3125
62,41,54.6875,D4,R,27.34375
71,60,54.6875,B4,R,27.34375
43,61,54.6875,G2,L,27.34375
71,0,54.75,B4,R,27.375
71,60,54.75,B4,R,27.375
62,0,54.75,D4,R,27.375
62,41,54.75,D4,R,27.375
43,61,54.75,G2,L,27.375
43,0,54.75,G2,L,27.375
43,0,54.875,G2,L,27.4375
59,55,54.875,B3,L,27.4375
62,0,55.0,D4,R,27.5
71,0,55.0,B4,R,27.5
62,51,55.0,D4,R,27.5
59,0,55.0,B3,L,27.5
71,61,55.0,B4,R,27.5
43,69,55.0,G2,L,27.5
43,0,55.25,G2,L,27.625
59,73,55.291666666666664,B3,L,27.645833333333332
59,0,55.33333333333333,B3,L,27.666666666666664
31,80,55.416666666666664,G1,L,27.708333333333332
31,0,55.5,G1,L,27.75
71,0,55.5,B4,R,27.75
62,0,55.5,D4,R,27.75
31,80,55.5,G1,L,27.75
71,76,55.583333333333336,B4,R,27.791666666666668
62,68,55.583333333333336,D4,R,27.791666666666668
31,0,55.625,G1,L,27.8125
59,74,55.625,B3,L,27.8125
71,0,55.66666666666667,B4,R,27.833333333333336
62,0,55.66666666666667,D4,R,27.833333333333336
71,58,55.833333333333336,B4,R,27.916666666666668
62,53,55.833333333333336,D4,R,27.916666666666668
43,65,55.875,G2,L,27.9375
59,0,55.875,B3,L,27.9375
71,0,56.0,B4,R,28.0
62,0,56.0,D4,R,28.0
59,61,56.0,B3,L,28.0
43,0,56.0,G2,L,28.0
59,0,56.125,B3,L,28.0625
43,69,56.1875,G2,L,28.09375
62,52,56.25,D4,R,28.125
71,53,56.25,B4,R,28.125
43,69,56.25,G2,L,28.125
43,0,56.25,G2,L,28.125
43,0,56.375,G2,L,28.1875
59,63,56.375,B3,L,28.1875
59,0,56.5,B3,L,28.25
71,0,56.5,B4,R,28.25
62,0,56.5,D4,R,28.25
71,61,56.5625,B4,R,28.28125
62,55,56.5625,D4,R,28.28125
43,63,56.5625,G2,L,28.28125
59,58,56.75,B3,L,28.375
62,0,56.75,D4,R,28.375
71,0,56.75,B4,R,28.375
43,0,56.75,G2,L,28.375
43,67,56.875,G2,L,28.4375
59,0,56.875,B3,L,28.4375
71,59,56.875,B4,R,28.4375
62,63,56.875,D4,R,28.4375
71,0,57.0,B4,R,28.5
62,0,57.0,D4,R,28.5
43,0,57.0,G2,L,28.5
59,53,57.0625,B3,L,28.53125
62,49,57.25,D4,R,28.625
59,0,57.25,B3,L,28.625
71,72,57.25,B4,R,28.625
43,71,57.291666666666664,G2,L,28.645833333333332
43,0,57.33333333333333,G2,L,28.666666666666664
59,64,57.416666666666664,B3,L,28.708333333333332
62,0,57.5,D4,R,28.75
40,77,57.5,E2,L,28.75
71,0,57.5,B4,R,28.75
62,68,57.5,D4,R,28.75
68,80,57.5,G#4,R,28.75
59,0,57.5,B3,L,28.75
62,0,57.75,D4,R,28.875
68,0,57.75,G#4,R,28.875
59,69,57.8125,B3,R,28.90625
52,72,58.0,E3,L,29.0
40,0,58.0,E2,L,29.0
68,77,58.0,G#4,R,29.0
59,0,58.0,B3,R,29.0
62,61,58.0,D4,L,29.0
52,0,58.166666666666664,E3,L,29.083333333333332
62,0,58.166666666666664,D4,L,29.083333333333332
59,61,58.25,B3,R,29.125
68,0,58.25,G#4,R,29.125
52,71,58.333333333333336,E3,L,29.166666666666668
62,60,58.333333333333336,D4,L,29.166666666666668
68,76,58.34375,G#4,R,29.171875
59,0,58.34375,B3,R,29.171875
68,0,58.375,G#4,R,29.1875
68,76,58.375,G#4,R,29.1875
68,0,58.5,G#4,R,29.25
52,0,58.5,E3,L,29.25
62,0,58.5,D4,L,29.25
59,67,58.5625,B3,R,29.28125
68,75,58.6875,G#4,R,29.34375
59,0,58.6875,B3,R,29.34375
62,59,58.6875,D4,L,29.34375
52,69,58.6875,E3,L,29.34375
62,0,58.75,D4,L,29.375
68,0,58.75,G#4,R,29.375
68,75,58.75,G#4,R,29.375
52,0,58.75,E3,L,29.375
62,59,58.75,D4,L,29.375
52,69,58.75,E3,L,29.375
59,72,58.875,B3,R,29.4375
68,0,58.875,G#4,R,29.4375
52,69,59.0,E3,L,29.5
62,0,59.0,D4,L,29.5
52,0,59.0,E3,L,29.5
68,73,59.0,G#4,R,29.5
59,0,59.0,B3,R,29.5
62,48,59.0,D4,L,29.5
59,59,59.25,B3,R,29.625
68,0,59.25,G#4,R,29.625
62,0,59.375,D4,L,29.6875
68,76,59.375,G#4,R,29.6875
52,69,59.375,E3,L,29.6875
59,0,59.375,B3,R,29.6875
