Date,TemperatureMin,TemperatureMax,TemperatureMoyenne,Precipitations,HygrometrieMin,HygrometrieMax,HygrometrieMoyenne
2019-07-23,17.7000007629395,35.2000007629395,26.4500007629395,0,25,81,49
2019-07-24,20.7999992370605,35.0999984741211,27.9500007629395,0,32,63,45
2019-07-25,23.2000007629395,41.5,32.3499984741211,0,18,70,44
2019-07-26,23.7999992370605,30.5,27.1499996185303,0,43,80,58
2019-07-27,17.5,20.3999996185303,18.9500007629395,25,85,98,94
2019-07-28,16.2000007629395,20.7999992370605,18.5,0.200000002980232,64,97,81
2019-07-29,12.6999998092651,26.7999992370605,19.75,0,35,95,63
2019-07-30,15.1000003814697,26.1000003814697,20.6000003814697,0,40,80,60
2019-07-31,15.6999998092651,21.5,18.6000003814697,0.200000002980232,49,89,69
2019-08-01,15.1999998092651,24.7999992370605,20,0,47,88,67
2019-08-02,13.3999996185303,24.5,18.9500007629395,0,51,92,74
2019-08-03,14.3000001907349,23.3999996185303,18.8500003814697,0,58,96,75
2019-08-04,14.8999996185303,27.3999996185303,21.1499996185303,0,40,90,63
2019-08-05,16.3999996185303,26.2000007629395,21.2999992370605,0,44,87,67
2019-08-06,14.5,24,19.25,0,50,95,69
2019-08-07,15.1000003814697,24.8999996185303,20,0,42,84,65
2019-08-08,14.1000003814697,25.6000003814697,19.8500003814697,0.400000005960464,52,90,74
2019-08-09,18.7000007629395,26,22.3500003814697,7,52,92,73
2019-08-10,18.8999996185303,25.2000007629395,22.0499992370605,0,38,76,59
2019-08-11,14.6000003814697,21.5,18.0499992370605,0,48,85,67
2019-08-12,12.3999996185303,22,17.2000007629395,4.59999990463257,50,89,74
2019-08-13,10.6999998092651,19.8999996185303,15.3000001907349,1.39999997615814,50,92,73
2019-08-14,9.39999961853027,19.7000007629395,14.5500001907349,2.59999990463257,61,97,82
2019-08-15,16,22.2000007629395,19.1000003814697,6,52,92,78
2019-08-16,12.8999996185303,23.6000003814697,18.25,0,49,96,74
2019-08-17,17.1000003814697,21.2999992370605,19.2000007629395,1.39999997615814,72,89,80
2019-08-18,14.6000003814697,21.8999996185303,18.25,11.6000003814697,52,98,79
2019-08-19,12,21.7000007629395,16.8500003814697,0.600000023841858,47,89,71
2019-08-20,10.6000003814697,22.1000003814697,16.3500003814697,0.200000002980232,43,94,69
2019-08-21,9.10000038146973,23.7000007629395,16.3999996185303,0,38,95,65
2019-08-22,9.69999980926514,25.1000003814697,17.3999996185303,0.200000002980232,34,93,65
2019-08-23,9.10000038146973,27.6000003814697,18.3500003814697,0,34,95,62
2019-08-24,13.6999998092651,30.2999992370605,22,0,31,86,56
2019-08-25,15.8000001907349,32.2999992370605,24.0499992370605,0,27,85,55
